age,height,weight,point,times,buy
23,170,77,174,3,1
21,159,68,58,7,0
55,145,94,82,16,1
39,146,55,268,4,1
22,149,40,10,10,0
27,158,66,176,0,1
62,141,59,239,5,1
46,183,52,211,15,1
54,162,65,287,14,1
40,163,57,295,3,1
53,144,69,296,1,1
56,163,46,14,4,0
38,173,49,41,16,1
48,165,77,126,13,1
69,155,57,58,7,1
69,175,77,188,11,1
59,151,60,180,1,1
62,173,45,207,0,1
67,145,98,219,15,1
31,143,68,172,7,1
51,148,58,143,13,1
65,166,56,210,0,1
42,158,98,289,17,1
34,151,64,205,8,1
65,149,86,48,2,1
46,164,62,282,14,1
22,175,63,181,16,1
72,154,96,115,14,1
27,180,40,106,13,1
54,145,76,33,17,1
66,169,43,259,6,1
67,147,56,83,18,1
58,153,92,298,7,1
71,174,41,45,13,1
41,152,78,98,19,1
39,157,41,93,14,1
48,143,46,210,16,1
74,162,44,47,3,1
73,161,57,11,6,1
73,177,73,239,14,1
28,168,91,88,1,0
32,148,57,70,0,0
76,154,63,97,15,1
25,167,94,213,5,1
40,159,93,274,15,1
55,181,50,242,17,1
34,157,97,161,12,1
41,167,86,278,2,1
49,172,59,29,5,0
32,158,100,147,6,1
74,154,62,103,19,1
44,168,82,218,18,1
47,140,81,145,7,1
23,168,51,125,19,1
73,177,85,98,12,1
27,169,71,150,12,1
41,141,62,300,12,1
74,148,52,198,0,1
31,158,52,237,6,1
22,182,87,129,14,1
66,141,59,185,11,1
25,163,61,127,15,1
70,148,46,170,3,1
32,149,100,199,16,1
35,157,88,148,19,1
29,165,81,273,12,1
70,158,76,200,19,1
79,165,62,222,6,1
60,147,90,185,11,1
53,170,63,213,10,1
66,147,99,300,12,1
47,165,45,118,2,1
76,153,71,160,2,1
72,157,88,117,13,1
37,182,53,187,3,1
20,152,93,74,11,1
41,150,90,273,11,1
43,185,58,258,13,1
36,178,90,101,5,1
43,181,76,164,17,1
40,153,66,30,9,0
32,178,58,183,15,1
76,153,81,207,13,1
79,153,67,183,0,1
74,165,49,260,15,1
24,153,40,26,6,0
51,169,43,62,18,1
58,141,97,294,19,1
51,180,77,18,0,0
36,180,80,299,7,1
42,147,57,153,16,1
46,140,49,196,12,1
72,144,41,205,1,1
43,170,43,19,10,0
61,141,88,11,10,1
59,144,88,94,9,1
48,173,59,265,17,1
45,150,60,223,5,1
65,142,47,71,2,1
54,151,51,44,12,1
30,147,80,212,14,1
61,163,81,231,13,1
34,148,88,234,13,1
70,183,54,108,12,1
61,146,91,169,16,1
72,161,62,17,1,1
39,183,76,234,7,1
64,150,78,296,20,1
54,180,64,148,2,1
21,142,97,134,1,1
60,167,71,49,2,0
29,141,71,221,2,1
25,181,78,9,11,1
63,151,53,184,19,1
80,140,100,286,18,1
35,184,75,35,16,1
38,172,72,260,9,1
45,162,74,262,10,1
41,182,62,64,7,0
68,155,76,219,10,1
72,140,65,204,11,1
30,182,56,50,18,1
68,168,58,210,9,1
36,178,68,203,8,1
65,183,71,232,13,1
61,168,49,110,18,1
78,144,65,156,6,1
68,175,82,225,15,1
42,184,61,175,11,1
31,156,41,146,17,1
59,178,98,74,18,1
68,152,66,31,15,1
47,174,73,37,11,1
40,180,69,57,8,0
66,147,57,60,14,1
34,153,41,242,14,1
40,168,85,14,8,0
26,163,59,237,9,1
64,150,51,85,17,1
79,165,44,196,13,1
60,142,68,65,9,0
65,143,45,19,9,1
38,151,52,259,9,1
27,146,62,171,12,1
71,170,65,274,20,1
57,169,65,206,3,1
31,151,72,200,2,1
52,163,66,89,2,0
64,167,93,147,11,1
78,140,91,24,4,1
37,152,82,246,0,1
34,155,87,26,3,1
28,169,47,201,11,1
79,185,81,254,15,1
66,185,47,242,15,1
48,147,81,147,9,1
74,158,87,285,5,1
55,185,51,114,18,1
24,153,87,85,9,1
37,140,96,297,19,1
80,156,94,237,5,1
44,184,80,76,1,0
33,166,51,8,15,1
36,180,94,233,6,1
68,177,53,273,6,1
49,177,63,254,7,1
30,156,83,194,0,1
41,177,99,237,15,1
20,159,79,133,4,1
49,184,47,129,3,1
76,156,43,112,9,1
56,158,87,273,0,1
58,160,61,196,19,1
39,143,71,98,13,1
28,157,52,69,16,1
53,140,94,41,1,1
40,151,92,171,0,1
67,147,77,147,8,1
69,176,49,113,8,1
21,160,41,75,2,0
22,165,100,280,4,1
32,178,52,24,1,0
69,178,57,170,3,1
64,185,56,27,11,1
74,142,52,101,12,1
31,153,63,22,20,1
24,165,84,161,3,1
67,169,51,152,1,1
32,176,94,252,4,1
57,140,61,183,20,1
68,170,72,161,0,1
38,155,93,161,4,1
79,164,79,18,16,1
53,163,56,67,12,1
66,170,43,39,7,1
61,178,83,22,9,1
74,151,46,276,7,1
26,153,58,242,4,1
39,149,78,179,20,1
59,174,66,280,18,1
53,149,89,180,2,1
75,162,96,202,11,1
74,169,51,33,2,1
68,151,91,284,20,1
58,150,71,40,16,1
22,148,66,81,17,1
38,176,71,277,14,1
40,151,65,214,4,1
74,146,75,189,10,1
20,168,99,33,19,1
35,160,70,70,3,0
63,157,85,27,1,1
53,154,57,48,1,0
74,161,73,208,7,1
20,155,68,45,16,1
47,164,46,93,5,0
34,166,92,145,12,1
41,177,40,106,5,1
28,182,63,180,20,1
55,145,50,250,3,1
35,159,77,298,12,1
38,162,40,277,10,1
67,156,73,179,3,1
67,170,62,300,19,1
48,156,44,145,9,1
27,143,63,37,13,1
63,176,77,58,2,1
24,163,89,145,4,1
61,145,61,167,14,1
58,179,55,103,0,1
27,157,74,229,16,1
46,167,92,143,0,1
61,164,51,283,9,1
31,152,50,19,15,1
36,159,80,245,12,1
26,167,100,218,13,1
50,167,80,172,7,1
43,175,85,25,2,0
27,171,62,35,13,1
27,173,60,212,6,1
56,176,87,22,7,0
47,181,78,203,11,1
53,151,98,69,6,1
23,167,95,96,18,1
34,141,61,252,15,1
79,182,52,18,12,1
39,143,93,299,16,1
63,165,75,3,15,1
79,181,75,163,20,1
51,170,89,237,16,1
55,181,91,89,13,1
45,167,94,179,0,1
35,183,80,33,5,0
36,174,77,79,1,0
28,153,45,199,9,1
36,174,81,111,15,1
73,164,91,49,18,1
58,159,42,63,19,1
25,172,84,148,12,1
51,177,89,163,7,1
44,152,68,272,9,1
22,171,62,291,8,1
56,156,91,67,1,1
54,153,74,224,1,1
66,153,88,75,12,1
71,146,78,238,6,1
52,147,65,255,10,1
54,178,67,86,4,0
73,150,93,210,14,1
36,149,56,281,12,1
60,167,85,217,6,1
38,185,57,254,3,1
33,179,94,218,3,1
50,170,44,108,17,1
80,184,71,229,2,1
51,149,58,204,8,1
32,149,72,252,10,1
36,154,99,225,0,1
70,170,57,268,15,1
43,154,62,70,15,1
28,167,54,72,9,0
28,153,41,258,19,1
27,166,80,161,3,1
23,163,71,149,20,1
58,175,45,201,5,1
22,154,77,17,0,1
33,184,44,36,13,1
39,184,42,71,2,0
38,140,81,264,7,1
40,185,62,95,15,1
60,165,92,232,2,1
37,157,87,177,16,1
58,147,50,78,20,1
21,179,55,122,16,1
52,140,91,157,11,1
68,173,90,224,6,1
37,167,45,93,20,1
43,178,77,117,9,1
71,159,44,227,17,1
60,153,65,107,15,1
62,140,47,148,6,1
34,179,54,274,14,1
63,151,100,181,8,1
33,185,50,265,5,1
77,164,88,12,13,1
75,147,67,281,14,1
62,185,87,208,16,1
32,141,67,193,12,1
55,154,73,170,3,1
68,156,73,162,2,1
36,151,63,236,19,1
20,153,40,102,9,1
58,177,81,32,8,0
43,149,53,101,4,1
38,184,81,226,4,1
67,141,88,57,15,1
56,149,44,67,10,0
41,180,40,159,17,1
29,156,88,106,20,1
75,167,99,217,8,1
79,183,40,282,12,1
30,176,97,170,6,1
33,152,79,49,1,1
46,142,73,11,4,1
36,174,54,64,13,1
30,181,80,295,8,1
21,155,95,256,11,1
37,165,55,100,16,1
78,178,87,278,0,1
48,162,93,61,18,1
32,141,80,291,18,1
54,145,56,9,5,0
24,152,58,219,13,1
72,153,68,294,4,1
30,172,50,192,1,1
66,172,70,201,13,1
36,152,81,289,4,1
38,180,56,137,6,1
69,146,77,70,10,1
64,143,100,252,3,1
46,175,69,104,18,1
80,181,71,176,2,1
46,153,92,178,15,1
53,168,51,205,0,1
46,140,57,149,20,1
61,163,71,60,10,1
40,185,94,280,4,1
42,148,58,208,14,1
66,144,71,18,9,1
77,155,79,300,20,1
